param,metric,mean,std
2000,op_norm,1.4200724420171982,0.9159746041648309
2000,avg_coeff_err,0.09693681041319585,0.06665344165337396
2947,op_norm,0.4835046162632681,0.3544746252645492
2947,avg_coeff_err,0.031052292897369195,0.024246509932686757
3894,op_norm,0.2499649122438532,0.19725737355151876
3894,avg_coeff_err,0.01575113803581057,0.012888132946899274
4842,op_norm,0.16256758710982716,0.11088659045487133
4842,avg_coeff_err,0.010116385184771301,0.006970150761730913
5789,op_norm,0.14908736446047435,0.1346317494118524
5789,avg_coeff_err,0.00931325268337573,0.008629917893326722
6736,op_norm,0.10507721537267592,0.08621097907156323
6736,avg_coeff_err,0.006505403928209536,0.005411426614095669
7684,op_norm,0.08722246688263928,0.06522524175300075
7684,avg_coeff_err,0.005414942659405927,0.003990892948255294
8631,op_norm,0.0661544398808423,0.04792122435272036
8631,avg_coeff_err,0.0040644692886017885,0.00292328002178329
9578,op_norm,0.06955049793373602,0.04179708597307667
9578,avg_coeff_err,0.0042848734470305894,0.002524841989563492
10526,op_norm,0.0656889122361561,0.04703651504411495
10526,avg_coeff_err,0.00403721144254827,0.002880366131837193
11473,op_norm,0.04101263862600437,0.03527276980206485
11473,avg_coeff_err,0.002549419753068433,0.0021299619442230705
12421,op_norm,0.05150931160510355,0.03356740182287133
12421,avg_coeff_err,0.0031755521776813235,0.002004030674444243
13368,op_norm,0.05412826828404579,0.02728018712357568
13368,avg_coeff_err,0.00331755610969877,0.0016384317177542012
14315,op_norm,0.03169813774522469,0.019221708526390754
14315,avg_coeff_err,0.001964744622132082,0.0011434422160719914
15263,op_norm,0.03662775479807825,0.02584581672746599
15263,avg_coeff_err,0.002241921500815305,0.0015492103578352643
16210,op_norm,0.040900606465238964,0.026807858500123422
16210,avg_coeff_err,0.00252243772517985,0.0015948179561368252
17157,op_norm,0.03540617005425653,0.02550196108948217
17157,avg_coeff_err,0.002180352562601809,0.0015312831220996458
18105,op_norm,0.03668478959077712,0.020595265871001068
18105,avg_coeff_err,0.002248482695996819,0.0012040615390877466
19052,op_norm,0.033265598227077836,0.02380185392765396
19052,avg_coeff_err,0.0020592078979399784,0.0014030276713711204
20000,op_norm,0.037677165579889815,0.025474438753720765
20000,avg_coeff_err,0.002319096041879048,0.001519621050277739
