idx,size,true_h,exact_h,noisy_h,err_exact,err_noisy
0,1,-0.044655796354163384,-0.04465579635416334,-0.04462587269320246,4.163336342344337e-17,2.9923660960926024e-05
1,1,-0.016604439691806864,-0.016604439691807034,-0.016634641437851205,-1.700029006457271e-16,-3.020174604434142e-05
2,1,0.0581458768100489,0.05814587681004907,0.05818211194325193,1.6653345369377348e-16,3.6235133203027514e-05
3,1,0.008757350304547423,0.008757350304547332,0.008723238227681007,-9.020562075079397e-17,-3.411207686641535e-05
4,1,0.04154560372058933,0.04154560372058943,0.04148803613120039,9.71445146547012e-17,-5.756758938894185e-05
5,1,0.026054466793721885,0.026054466793721486,0.026002421200661097,-3.9898639947466563e-16,-5.204559306078854e-05
6,1,-0.02873438225671247,-0.028734382256712612,-0.028742586397802694,-1.4224732503009818e-16,-8.204141090224076e-06
7,1,0.024467481143560083,0.0244674811435603,0.024417666458970755,2.1510571102112408e-16,-4.981468458932839e-05
8,1,-0.01429331394873159,-0.014293313948731491,-0.014296316437513418,9.8879238130678e-17,-3.002488781827725e-06
9,1,-0.014554880159982717,-0.014554880159982818,-0.014572681484842837,-1.0061396160665481e-16,-1.780132486011929e-05
10,1,0.004386806526117427,0.004386806526117492,0.00442042736225734,6.505213034913027e-17,3.3620836139913214e-05
11,1,-0.06889107940109898,-0.06889107940109901,-0.06890436731204128,-2.7755575615628914e-17,-1.3287910942294534e-05
12,1,0.05382264445750539,0.053822644457505404,0.0538034118399707,1.3877787807814457e-17,-1.923261753469102e-05
13,1,-0.03029764129489029,-0.030297641294890175,-0.03029559639106892,1.1449174941446927e-16,2.0449038213680992e-06
14,1,0.04515909750396291,0.045159097503963005,0.04517750043848171,9.71445146547012e-17,1.8402934518803316e-05
15,1,0.006154480785815268,0.006154480785815229,0.006188642991555198,-3.903127820947816e-17,3.416220573992934e-05
16,1,0.06916659638141028,0.06916659638141012,0.0691680491205327,-1.5265566588595902e-16,1.4527391224289365e-06
17,1,-0.02979559558784138,-0.029795595587841416,-0.029745386171900097,-3.469446951953614e-17,5.0209415941283864e-05
18,1,-0.014076581816679711,-0.014076581816679788,-0.014030034884158283,-7.632783294297951e-17,4.654693252142787e-05
19,1,0.01524924047492263,0.015249240474922605,0.015184411028379556,-2.42861286636753e-17,-6.482944654307397e-05
20,1,-0.09966055204879043,-0.09966055204879035,-0.09966534835646135,8.326672684688674e-17,-4.7963076709178765e-06
21,1,0.037378114706037156,0.037378114706037115,0.037358673588186085,-4.163336342344337e-17,-1.9441117851071166e-05
22,1,0.06959988573139421,0.06959988573139411,0.06966207024709219,-9.71445146547012e-17,6.218451569797723e-05
23,1,0.05087187196276286,0.05087187196276283,0.050890545729562246,-3.469446951953614e-17,1.8673766799384706e-05
24,1,0.03407553534140073,0.03407553534140063,0.03414001652230431,-1.0408340855860843e-16,6.448118090358196e-05
25,1,-0.006590454310657408,-0.006590454310657358,-0.0065932420024658505,4.9439619065339e-17,-2.787691808442752e-06
26,1,0.05787395528101333,0.05787395528101329,0.057900783817322124,-4.163336342344337e-17,2.682853630879556e-05
27,1,0.048489189638912904,0.048489189638912834,0.0484572153059535,-6.938893903907228e-17,-3.197433295940716e-05
28,1,0.017725627369863543,0.017725627369863564,0.017731568512516796,2.0816681711721685e-17,5.9411426532526845e-06
29,1,0.00023089554391099207,0.00023089554391102722,0.00027778535978587347,3.515525544284248e-17,4.68898158748814e-05
30,1,-0.01633266511254611,-0.016332665112546097,-0.0162999442407154,1.3877787807814457e-17,3.272087183071176e-05
