param,metric,mean,std
50,op_norm,0.32048921214295556,0.10710408525348501
50,avg_coeff_err,0.02263338385057966,0.007869065259019778
300,op_norm,0.09720489713035443,0.04219696183164167
300,avg_coeff_err,0.006990930246452037,0.003158508615387408
550,op_norm,0.07070080493009934,0.0369503305749735
550,avg_coeff_err,0.004991394038576451,0.002653539373562643
800,op_norm,0.055223544563916815,0.0247963489342291
800,avg_coeff_err,0.0038590350320621045,0.0016710261278766207
1050,op_norm,0.05403912371575978,0.02393540938191364
1050,avg_coeff_err,0.0038899824704980695,0.001752447578200919
1300,op_norm,0.049685217071229026,0.026451620060915053
1300,avg_coeff_err,0.0035347360057816357,0.0018981402173539141
1550,op_norm,0.045463940880393905,0.019848812525035047
1550,avg_coeff_err,0.0031778201034958326,0.0013941020595619395
1800,op_norm,0.04258367714527002,0.017836452638128254
1800,avg_coeff_err,0.0030025254472896314,0.0012961063355216421
2050,op_norm,0.037790142169377636,0.015743915470235473
2050,avg_coeff_err,0.002665298084915624,0.0011089718243773976
2300,op_norm,0.03963938861877915,0.017550117418969488
2300,avg_coeff_err,0.002736763245332662,0.001200655109274294
2550,op_norm,0.03676719426835644,0.01657385430839973
2550,avg_coeff_err,0.0025772798363334383,0.0011507545192059466
2800,op_norm,0.0370347189459237,0.016483426296241638
2800,avg_coeff_err,0.002586973327829958,0.0011819936696272203
3050,op_norm,0.033062791697384734,0.013752101167218247
3050,avg_coeff_err,0.002281262636768412,0.0009468437334824979
3300,op_norm,0.03733654108496087,0.018856525368631732
3300,avg_coeff_err,0.0026075180410138144,0.0013174961973984056
3550,op_norm,0.039277200528960776,0.016543498583712762
3550,avg_coeff_err,0.00268675032990479,0.0011500703974995001
3800,op_norm,0.03843489512966171,0.015004598898721971
3800,avg_coeff_err,0.002632957418428501,0.0010536984267176205
4050,op_norm,0.032307955902978296,0.015495920963902789
4050,avg_coeff_err,0.0022348610617518023,0.001078730176274873
4300,op_norm,0.03457828973210005,0.014557680754359106
4300,avg_coeff_err,0.002394318826728046,0.001008837911759449
4550,op_norm,0.030540165191653285,0.014765222775633477
4550,avg_coeff_err,0.0021348789110353966,0.001031802532783142
4800,op_norm,0.03558004650770734,0.013247682662102779
4800,avg_coeff_err,0.0024573982744228607,0.0008948453031350515
