n,m=2n-1,distribution,mean,std,sem,num_samples
79,157,gaussian,3.0909085547e-07,9.3925150235e-07,2.9701740432e-08,1000
80,159,gaussian,3.0598863467e-07,1.0669969688e-06,3.3741406780e-08,1000
81,161,gaussian,3.2840023092e-07,8.6237414388e-07,2.7270664899e-08,1000
82,163,gaussian,2.5627968183e-07,8.1662501406e-07,2.5823950387e-08,1000
83,165,gaussian,3.0846818739e-07,8.7561403859e-07,2.7689347132e-08,1000
84,167,gaussian,2.5757232220e-07,8.2136362770e-07,2.5973798507e-08,1000
85,169,gaussian,2.4426850332e-07,6.1418900935e-07,1.9422361834e-08,1000
86,171,gaussian,2.0877303957e-07,6.4383239450e-07,2.0359767980e-08,1000
87,173,gaussian,2.3846421979e-07,9.4119363345e-07,2.9763156010e-08,1000
88,175,gaussian,2.2696772647e-07,5.8480630430e-07,1.8493199116e-08,1000
89,177,gaussian,2.0995518249e-07,6.3204156611e-07,1.9986909248e-08,1000
90,179,gaussian,2.2435112285e-07,7.1940788200e-07,2.2749674738e-08,1000
91,181,gaussian,1.9226830825e-07,4.8759167954e-07,1.5419002755e-08,1000
92,183,gaussian,1.6354335109e-07,4.0386200176e-07,1.2771237860e-08,1000
93,185,gaussian,1.8109654358e-07,5.7269716483e-07,1.8110274504e-08,1000
94,187,gaussian,2.0620933491e-07,6.8184717705e-07,2.1561900956e-08,1000
95,189,gaussian,1.5015799886e-07,4.0622067962e-07,1.2845825803e-08,1000
96,191,gaussian,1.9176229142e-07,6.6310721886e-07,2.0969291445e-08,1000
97,193,gaussian,1.6390867676e-07,5.4069273445e-07,1.7098205552e-08,1000
98,195,gaussian,1.5602199045e-07,4.2386448851e-07,1.3403772030e-08,1000
99,197,gaussian,1.2698388408e-07,3.2751849637e-07,1.0357044244e-08,1000
100,199,gaussian,1.2335655594e-07,2.9030111293e-07,9.1801272413e-09,1000
101,201,gaussian,1.3514340452e-07,4.5094092630e-07,1.4260004173e-08,1000
102,203,gaussian,1.1780701809e-07,3.2176280010e-07,1.0175033146e-08,1000
103,205,gaussian,1.3180010250e-07,4.1491460312e-07,1.3120751803e-08,1000
104,207,gaussian,1.2853044288e-07,3.1250088096e-07,9.8821455465e-09,1000
105,209,gaussian,1.2151288028e-07,3.5864952747e-07,1.1341493885e-08,1000
106,211,gaussian,1.3794443307e-07,4.8587434240e-07,1.5364695786e-08,1000
107,213,gaussian,1.1160401716e-07,3.6493617924e-07,1.1540295270e-08,1000
108,215,gaussian,1.1100874543e-07,2.9742702054e-07,9.4054682259e-09,1000
109,217,gaussian,1.0671528188e-07,3.0709565603e-07,9.7112173259e-09,1000
110,219,gaussian,9.2249903658e-08,2.4549046716e-07,7.7630902010e-09,1000
111,221,gaussian,1.0588214986e-07,2.9041372274e-07,9.1836882764e-09,1000
112,223,gaussian,1.0733940550e-07,3.5671451657e-07,1.1280303468e-08,1000
113,225,gaussian,9.8507483927e-08,2.8732124905e-07,9.0858956716e-09,1000
114,227,gaussian,9.3375367462e-08,2.8446559956e-07,8.9955921058e-09,1000
115,229,gaussian,9.0407908538e-08,3.7875556780e-07,1.1977302707e-08,1000
116,231,gaussian,7.3627365123e-08,2.2363306531e-07,7.0718984650e-09,1000
117,233,gaussian,7.6143053516e-08,2.5031779005e-07,7.9157435543e-09,1000
118,235,gaussian,7.1466788958e-08,1.9152990871e-07,6.0567075157e-09,1000
119,237,gaussian,6.5563497219e-08,1.9563377598e-07,6.1864831936e-09,1000
120,239,gaussian,6.7677372925e-08,1.8581762662e-07,5.8760692953e-09,1000
121,241,gaussian,6.7654935716e-08,1.5493586141e-07,4.8995021329e-09,1000
122,243,gaussian,6.9066915667e-08,2.1447684988e-07,6.7823535099e-09,1000
123,245,gaussian,7.0581692893e-08,2.1129796989e-07,6.6818284981e-09,1000
124,247,gaussian,8.1097843853e-08,3.3679371236e-07,1.0650352327e-08,1000
