param,metric,mean,std
2000,op_norm,1.5321192364675493,0.9683600871770965
2000,avg_coeff_err,0.10457302151195899,0.07019765819913008
4500,op_norm,0.25500490966079403,0.25607774141307765
4500,avg_coeff_err,0.016297629582381193,0.016802432356925523
7000,op_norm,0.1512193436140512,0.11457156439222183
7000,avg_coeff_err,0.009429198510566478,0.0072836557600940224
9500,op_norm,0.07674019789665881,0.056509737910926644
9500,avg_coeff_err,0.00475777629230923,0.003429529984677369
12000,op_norm,0.07656559369973058,0.04708055995050553
12000,avg_coeff_err,0.004712214720876346,0.0028515063899915336
14500,op_norm,0.053241256756754396,0.028554919425425727
14500,avg_coeff_err,0.003279767692095277,0.0016976521666806185
17000,op_norm,0.04157036681952522,0.023348600070265374
17000,avg_coeff_err,0.00260376491481981,0.001350027657690431
19500,op_norm,0.03292167153189239,0.018667931415503266
19500,avg_coeff_err,0.0021081021402070423,0.0011005563022338535
22000,op_norm,0.03983406680987485,0.0199327711031821
22000,avg_coeff_err,0.002452918360774284,0.0011859247896412266
24500,op_norm,0.0369588502896024,0.022278869592297204
24500,avg_coeff_err,0.002303126840939783,0.001298770632791779
27000,op_norm,0.03948546000268238,0.024175237088963547
27000,avg_coeff_err,0.0024263703411158124,0.001429699235274424
29500,op_norm,0.0343662232540202,0.01790178957350022
29500,avg_coeff_err,0.002137247369607769,0.0010515148063672964
32000,op_norm,0.03424916983615746,0.017997481939930303
32000,avg_coeff_err,0.0021183296872810623,0.0010651438777064468
34500,op_norm,0.026763443870697973,0.015610011213700932
34500,avg_coeff_err,0.001674618684548793,0.0009104488059789334
37000,op_norm,0.025603970582548846,0.015756554317045344
37000,avg_coeff_err,0.001590868821880728,0.0009347559838445979
39500,op_norm,0.03293627816381537,0.013805490131932387
39500,avg_coeff_err,0.0020307686316490894,0.0008198998845311267
42000,op_norm,0.02843868707212971,0.013692303703551442
42000,avg_coeff_err,0.0017731749639089097,0.0008090974133153614
44500,op_norm,0.02362783657248585,0.010697234926093573
44500,avg_coeff_err,0.001474927760945627,0.0006325770672276524
47000,op_norm,0.025162962838508163,0.016385332327655065
47000,avg_coeff_err,0.001567525674663317,0.0009526974986291278
49500,op_norm,0.022748367982102446,0.014552512547203909
49500,avg_coeff_err,0.0014147816477638549,0.0008577283099939618
