idx,name,label,true_h,exact_h,noisy_h,err_exact,err_noisy
0,X0X1,XXIIIIIIII,-0.1202012464619584,-0.1202012464619584,-0.1178832221613998,0.0,0.0023180243005585938
1,X0Y1,XYIIIIIIII,-0.04469463117236561,-0.044694631172365905,-0.043781046578313554,-2.914335439641036e-16,0.0009135845940520596
2,X0Z1,XZIIIIIIII,0.15651287044038428,0.15651287044038417,0.15594407234480323,-1.1102230246251565e-16,-0.0005687980955810523
3,Y0X1,YXIIIIIIII,0.023572402873797818,0.023572402873797593,0.026563838806232476,-2.255140518769849e-16,0.002991435932434658
4,Y0Y1,YYIIIIIIII,0.11182945462720037,0.11182945462720018,0.11153783577513068,-1.942890293094024e-16,-0.0002916188520696861
5,Y0Z1,YZIIIIIIII,0.07013153140678659,0.07013153140678656,0.07078809431461854,-2.7755575615628914e-17,0.0006565629078319479
6,Z0X1,ZXIIIIIIII,-0.07734513423920168,-0.07734513423920182,-0.0774441426950422,-1.3877787807814457e-16,-9.900845584051576e-05
7,Z0Y1,ZYIIIIIIII,0.06585979808567866,0.06585979808567867,0.06484176420154618,1.3877787807814457e-17,-0.001018033884132477
8,Z0Z1,ZZIIIIIIII,-0.03847370986475427,-0.03847370986475421,-0.03791036216695792,6.245004513516506e-17,0.0005633476977963472
9,X1X2,IXXIIIIIII,-0.039177774895312975,-0.03917777489531297,-0.03909744392219701,6.938893903907228e-18,8.033097311596626e-05
10,X1Y2,IXYIIIIIII,0.011808088881559197,0.01180808888155931,0.009014371564553444,1.1275702593849246e-16,-0.0027937173170057526
11,X1Z2,IXZIIIIIII,-0.18543603048632684,-0.18543603048632673,-0.185011116096812,1.1102230246251565e-16,0.0004249143895148355
12,Y1X2,IYXIIIIIII,0.14487590592632643,0.14487590592632638,0.14500173192902466,-5.551115123125783e-17,0.00012582600269822608
13,Y1Y2,IYYIIIIIII,-0.08155300198030349,-0.08155300198030355,-0.08088618239235086,-5.551115123125783e-17,0.0006668195879526301
14,Y1Z2,IYZIIIIIII,0.12155599613592764,0.1215559961359276,0.12064312062681005,-4.163336342344337e-17,-0.0009128755091175889
15,Z1X2,IZXIIIIIII,0.016566186747942677,0.016566186747942673,0.018857487379818787,-3.469446951953614e-18,0.00229130063187611
16,Z1Y2,IZYIIIIIII,0.18617764718916646,0.18617764718916655,0.1863707836773257,8.326672684688674e-17,0.00019313648815924567
17,Z1Z2,IZZIIIIIII,-0.08020163161643072,-0.08020163161643085,-0.07873219252437515,-1.249000902703301e-16,0.0014694390920555744
18,X2X3,IIXXIIIIII,-0.037890325969539854,-0.03789032596953992,-0.03731724844557522,-6.938893903907228e-17,0.0005730775239646338
19,X2Y3,IIXYIIIIII,0.041046803826911324,0.04104680382691125,0.04335588609645321,-7.632783294297951e-17,0.002309082269541886
20,X2Z3,IIXZIIIIII,-0.2682590740145792,-0.26825907401457916,-0.2683843850531504,5.551115123125783e-17,-0.0001253110385711631
21,Y2X3,IIYXIIIIII,0.1006117087786486,0.10061170877864865,0.10044581037819278,5.551115123125783e-17,-0.00016589840045581894
22,Y2Y3,IIYYIIIIII,0.18734394415840425,0.18734394415840402,0.18749532569969707,-2.220446049250313e-16,0.0001513815412928221
23,Y2Z3,IIYZIIIIII,0.13693322970394511,0.13693322970394525,0.13693087145717417,1.3877787807814457e-16,-2.3582467709448718e-06
24,Z2X3,IIZXIIIIII,0.09172206424022283,0.09172206424022293,0.09035388808778505,9.71445146547012e-17,-0.0013681761524377833
25,Z2Y3,IIZYIIIIII,-0.0177397087851452,-0.017739708785145296,-0.018809959503220057,-9.71445146547012e-17,-0.0010702507180748583
26,Z2Z3,IIZZIIIIII,0.1557809317135348,0.155780931713535,0.15642283812594213,1.942890293094024e-16,0.0006419064124073282
27,X3X4,IIIXXIIIII,0.13051969756181955,0.1305196975618195,0.13070901736550541,-5.551115123125783e-17,0.0001893198036858612
28,X3Y4,IIIXYIIIII,0.04771256316379985,0.04771256316379984,0.04624173963200554,-6.938893903907228e-18,-0.001470823531794306
29,X3Z4,IIIXZIIIII,0.0006215079440191311,0.0006215079440191645,0.00037176076887968285,3.3393426912553537e-17,-0.0002497471751394482
30,Y3X4,IIIYXIIIII,-0.043963087994303554,-0.043963087994303436,-0.040756248440166315,1.1796119636642288e-16,0.003206839554137239
31,Y3Y4,IIIYYIIIII,-0.14950182127155462,-0.14950182127155445,-0.15259416023591327,1.6653345369377348e-16,-0.0030923389643586485
32,Y3Z4,IIIYZIIIII,0.1490153755082053,0.14901537550820532,0.15027778098583588,2.7755575615628914e-17,0.001262405477630596
