idx,name,label,true_h,exact_h,noisy_h,err_exact,err_noisy
0,X0X1,XXIIIIIIII,-0.19961102784907575,-0.1996110278490991,-0.20082030138466092,-2.3342439092743916e-14,-0.0012092735355851703
1,Y0Y1,YYIIIIIIII,-0.07422170343695024,-0.0742217034369015,-0.07289020979139783,4.873879078104437e-14,0.0013314936455524062
2,Z0Z1,ZZIIIIIIII,0.2599115721325052,0.259911572132533,0.25836444112095686,2.781108676686017e-14,-0.0015471310115483528
3,X1X2,IXXIIIIIII,0.039145280976769566,0.03914528097675498,0.03980219853841517,-1.4585554986012994e-14,0.0006569175616456049
4,Y1Y2,IYYIIIIIII,0.18570849337241851,0.18570849337240591,0.18683958988382207,-1.2601031329495527e-14,0.0011310965114035565
5,Z1Z2,IZZIIIIIII,0.11646324377483769,0.11646324377487789,0.11684983322988002,4.020395127923848e-14,0.0003865894550423299
6,X2X3,IIXXIIIIII,-0.12844244297830926,-0.1284424429783369,-0.12856181133947372,-2.7644553313166398e-14,-0.00011936836116446803
7,Y2Y3,IIYYIIIIII,0.10936943148901118,0.1093694314889941,0.10858780647631258,-1.7083556791419596e-14,-0.0007816250126986002
8,Z2Z3,IIZZIIIIII,-0.06389099112796007,-0.06389099112796798,-0.062150490344552625,-7.91033905045424e-15,0.001740500783407442
9,X3X4,IIIXXIIIII,-0.06506018985558634,-0.06506018985557836,-0.06487152145082047,7.979727989493313e-15,0.00018866840476587654
10,Y3Y4,IIIYYIIIII,0.01960898765993439,0.019608987659944014,0.020596225331457062,9.624245844719326e-15,0.0009872376715226727
11,Z3Z4,IIIZZIIIII,-0.3079425358317135,-0.30794253583173287,-0.30786246134398426,-1.9373391779708982e-14,8.007448772923142e-05
12,X4X5,IIIIXXIIII,0.24058676048482017,0.2405867604848091,0.23919263464745658,-1.1074474670635936e-14,-0.0013941258373635912
13,Y4Y5,IIIIYYIIII,-0.13543019751145485,-0.13543019751146831,-0.1342815661637696,-1.3461454173580023e-14,0.0011486313476852528
14,Z4Z5,IIIIZZIIII,0.20186077968492536,0.20186077968491473,0.20361004560285628,-1.0630385460785874e-14,0.0017492659179309256
15,X5X6,IIIIIXXIII,0.027510476485309313,0.027510476485302093,0.027853853712440743,-7.219919107015471e-15,0.0003433772271314306
16,Y5Y6,IIIIIYYIII,0.30917409437774496,0.3091740943777507,0.30974724797879327,5.717648576819556e-15,0.0005731536010483151
17,Z5Z6,IIIIIZZIII,-0.13318605749396517,-0.1331860574939514,-0.13178048708673298,1.3766765505351941e-14,0.0014055704072321873
18,X6X7,IIIIIIXXII,-0.0629222003509759,-0.06292220035097054,-0.0643171838429009,5.35682609381638e-15,-0.0013949834919250031
19,Y6Y7,IIIIIIYYII,0.06816397452585662,0.06816397452584988,0.06887246522097244,-6.744604874597826e-15,0.0007084906951158182
20,Z6Z7,IIIIIIZZII,-0.4454818154555351,-0.44548181545554205,-0.4462904157499663,-6.938893903907228e-15,-0.0008086002944311943
21,X7X8,IIIIIIIXXI,0.1670798531137854,0.16707985311378656,0.16693463245200765,1.1657341758564144e-15,-0.00014522066177774517
22,Y7Y8,IIIIIIIYYI,0.3111108940670934,0.31111089406709136,0.31355117673979527,-2.0539125955565396e-15,0.0024402826727018545
23,Z7Z8,IIIIIIIZZI,0.22739683266552996,0.22739683266552554,0.2239265935944697,-4.413136522884997e-15,-0.003470239071060255
24,X8X9,IIIIIIIIXX,0.15231735159438828,0.15231735159438203,0.150781110749649,-6.2450045135165055e-15,-0.0015362408447392728
25,Y8Y9,IIIIIIIIYY,-0.029459274413321416,-0.029459274413298635,-0.028522719773213655,2.278038868652743e-14,0.0009365546401077611
26,Z8Z9,IIIIIIIIZZ,0.2586960852229313,0.2586960852228778,0.259132380195064,-5.3512749786932545e-14,0.0004362949721327114
